Filter: 25 Hz low pass,,,,,
beat#,Time,ECG catheter,Pressure,Temperature,Total Volume
,,,mmHg,°C,ml
0,0,9.58,23.95,44.26,116.81
0,0.004,9.58,23.95,44.26,116.81
0,0.008,9.58,23.95,44.26,116.81
0,0.012,9.58,23.95,44.26,116.81
0,0.016,9.58,23.95,44.26,116.81
0,0.02,9.58,23.94,44.26,116.82
0,0.024,9.58,23.93,44.26,116.82
0,0.028,9.58,23.92,44.26,116.82
0,0.032,9.58,23.92,44.26,116.82
0,0.036,9.57,23.94,44.26,116.82
0,0.04,9.57,23.97,44.26,116.81
0,0.044,9.57,24,44.26,116.8
0,0.048,9.58,24.02,44.26,116.8
0,0.052,9.59,24.01,44.26,116.81
0,0.056,9.6,23.96,44.26,116.84
0,0.06,9.6,23.87,44.26,116.86
0,0.064,9.59,23.79,44.25,116.88
0,0.068,9.56,23.76,44.25,116.87
0,0.072,9.54,23.84,44.25,116.83
0,0.076,9.53,24.02,44.26,116.77
0,0.08,9.54,24.24,44.27,116.72
0,0.084,9.58,24.39,44.28,116.71
0,0.088,9.65,24.29,44.28,116.78
0,0.092,9.74,23.79,44.28,116.96
0,0.096,9.81,22.77,44.27,117.24
0,0.1,9.85,21.23,44.25,117.61
0,0.104,9.83,19.28,44.23,118.04
0,0.108,9.75,17.08,44.22,118.53
0,0.112,9.62,14.86,44.21,119.05
0,0.116,9.45,12.81,44.21,119.62
0,0.12,9.24,11.08,44.22,120.31
0,0.124,9.01,9.7,44.23,121.18
0,0.128,8.74,8.66,44.25,122.32
0,0.132,8.43,7.88,44.26,123.82
0,0.136,8.05,7.29,44.27,125.77
0,0.14,7.59,6.82,44.27,128.22
0,0.144,7.07,6.44,44.28,131.2
0,0.148,6.51,6.15,44.29,134.67
0,0.152,5.92,5.95,44.29,138.56
0,0.156,5.35,5.85,44.29,142.79
0,0.16,4.83,5.83,44.29,147.21
0,0.164,4.42,5.89,44.28,151.71
0,0.168,4.14,6.01,44.28,156.18
0,0.172,4.01,6.16,44.28,160.54
0,0.176,4,6.34,44.29,164.72
0,0.18,4.07,6.52,44.29,168.68
0,0.184,4.13,6.71,44.3,172.39
0,0.188,4.07,6.9,44.3,175.8
0,0.192,3.77,7.07,44.3,178.89
0,0.196,3.17,7.21,44.3,181.63
0,0.2,2.26,7.32,44.29,184.05
0,0.204,1.09,7.41,44.27,186.16
0,0.208,-0.2,7.47,44.26,188.04
0,0.212,-1.44,7.52,44.25,189.75
0,0.216,-2.46,7.6,44.24,191.34
0,0.22,-3.15,7.73,44.24,192.85
0,0.224,-3.43,7.92,44.23,194.31
0,0.228,-3.31,8.19,44.22,195.72
0,0.232,-2.84,8.53,44.22,197.09
0,0.236,-2.12,8.93,44.21,198.45
0,0.24,-1.24,9.35,44.2,199.82
0,0.244,-0.29,9.74,44.2,201.22
0,0.248,0.67,10.08,44.19,202.65
0,0.252,1.55,10.35,44.19,204.09
0,0.256,2.31,10.52,44.19,205.46
0,0.26,2.9,10.62,44.19,206.69
0,0.264,3.3,10.67,44.19,207.72
0,0.268,3.51,10.7,44.19,208.51
0,0.272,3.56,10.73,44.18,209.06
0,0.276,3.49,10.77,44.18,209.41
0,0.28,3.36,10.83,44.18,209.64
0,0.284,3.19,10.91,44.18,209.79
0,0.288,2.96,10.99,44.18,209.91
0,0.292,2.65,11.07,44.18,210.02
0,0.296,2.23,11.15,44.18,210.14
0,0.3,1.68,11.22,44.18,210.26
0,0.304,1.05,11.28,44.18,210.37
0,0.308,0.42,11.35,44.18,210.49
0,0.312,-0.07,11.43,44.18,210.6
0,0.316,-0.32,11.52,44.18,210.73
0,0.32,-0.27,11.62,44.18,210.87
0,0.324,0.07,11.73,44.18,211.03
0,0.328,0.64,11.85,44.18,211.21
0,0.332,1.36,11.99,44.18,211.41
0,0.336,2.16,12.13,44.18,211.63
0,0.34,2.93,12.28,44.18,211.91
0,0.344,3.54,12.44,44.18,212.26
0,0.348,3.8,12.62,44.17,212.74
0,0.352,3.57,12.83,44.17,213.41
0,0.356,2.86,13.07,44.16,214.35
0,0.36,2,13.34,44.15,215.58
0,0.364,1.53,13.61,44.14,217.13
0,0.368,2.09,13.87,44.14,218.95
0,0.372,3.96,14.11,44.14,220.92
0,0.376,6.76,14.32,44.13,222.9
0,0.38,9.34,14.5,44.13,224.74
0,0.384,10.09,14.68,44.13,226.32
0,0.388,7.75,14.9,44.13,227.61
0,0.392,2.32,15.19,44.13,228.64
0,0.396,-4.36,15.58,44.13,229.54
0,0.4,-8.69,16.06,44.12,230.45
0,0.404,-6.33,16.61,44.12,231.49
0,0.408,6.09,17.15,44.11,232.73
0,0.412,29.29,17.62,44.11,234.17
0,0.416,60.37,17.95,44.1,235.72
0,0.42,93.13,18.14,44.1,237.26
0,0.424,119.73,18.19,44.1,238.61
0,0.428,133.15,18.2,44.1,239.62
0,0.432,129.55,18.29,44.1,240.16
0,0.436,109.62,18.64,44.1,240.15
0,0.44,78.24,19.41,44.1,239.57
